Date	Q
1/01/1967	0
2/01/1967	0
3/01/1967	0
4/01/1967	0
5/01/1967	0
6/01/1967	0
7/01/1967	0
8/01/1967	0
9/01/1967	0
10/01/1967	0
11/01/1967	0
12/01/1967	0
13/01/1967	0
14/01/1967	0
15/01/1967	0
16/01/1967	0
17/01/1967	0
18/01/1967	0
19/01/1967	0
20/01/1967	0
21/01/1967	0
22/01/1967	0
23/01/1967	0
24/01/1967	0
25/01/1967	0
26/01/1967	0
27/01/1967	0
28/01/1967	0
29/01/1967	0
30/01/1967	0
31/01/1967	0
1/02/1967	0
2/02/1967	0
3/02/1967	0
4/02/1967	0
5/02/1967	0
6/02/1967	0
7/02/1967	0
8/02/1967	0
9/02/1967	0
10/02/1967	0
11/02/1967	0
12/02/1967	0
13/02/1967	0
14/02/1967	0
15/02/1967	536.65
16/02/1967	2334.911
17/02/1967	3095.16
18/02/1967	3538.955
19/02/1967	3847.047
20/02/1967	4004.694
21/02/1967	3892.126
22/02/1967	2950.723
23/02/1967	1854.813
24/02/1967	1185.701
25/02/1967	861.817
26/02/1967	688.648
27/02/1967	1182.975
28/02/1967	3224.719
1/03/1967	2731.604
2/03/1967	2030.822
3/03/1967	1447.279
4/03/1967	1516.269
5/03/1967	2751.115
6/03/1967	2850.232
7/03/1967	2468.302
8/03/1967	5170.812
9/03/1967	19364.76
10/03/1967	38458.14
11/03/1967	47164.46
12/03/1967	32490.4
13/03/1967	27126.65
14/03/1967	24725.16
15/03/1967	22831.52
16/03/1967	19637.31
17/03/1967	14955.51
18/03/1967	10505.59
19/03/1967	7933.302
20/03/1967	6933.384
21/03/1967	6584.469
22/03/1967	6544.282
23/03/1967	6544.282
24/03/1967	6520.511
25/03/1967	6362.183
26/03/1967	6220.854
27/03/1967	5996.7
28/03/1967	5352.761
29/03/1967	3816.633
30/03/1967	2241.441
31/03/1967	1248.328
1/04/1967	784.875
2/04/1967	572.751
3/04/1967	430.686
4/04/1967	323.272
5/04/1967	280.99
6/04/1967	221.117
7/04/1967	180.436
8/04/1967	157.833
9/04/1967	131.015
10/04/1967	125.085
11/04/1967	110.798
12/04/1967	89.327
13/04/1967	84.607
14/04/1967	73.408
15/04/1967	56.862
16/04/1967	53.255
17/04/1967	44.875
18/04/1967	32.001
19/04/1967	23.868
20/04/1967	12.236
21/04/1967	5.681
22/04/1967	0.713
23/04/1967	0
24/04/1967	0
25/04/1967	0
26/04/1967	0
27/04/1967	0
28/04/1967	0
29/04/1967	0
30/04/1967	0
1/05/1967	0
2/05/1967	0
3/05/1967	0
4/05/1967	0
5/05/1967	0
6/05/1967	0
7/05/1967	0
8/05/1967	0
9/05/1967	0
10/05/1967	0
11/05/1967	0
12/05/1967	0
13/05/1967	0
14/05/1967	0
15/05/1967	0
16/05/1967	0
17/05/1967	0
18/05/1967	0
19/05/1967	0
20/05/1967	0
21/05/1967	0
22/05/1967	0
23/05/1967	0
24/05/1967	0
25/05/1967	0
26/05/1967	0
27/05/1967	0
28/05/1967	0
29/05/1967	0
30/05/1967	0
31/05/1967	0
1/06/1967	0
2/06/1967	0
3/06/1967	0
4/06/1967	0
5/06/1967	0
6/06/1967	0
7/06/1967	1589.532
8/06/1967	13255.09
9/06/1967	13338.36
10/06/1967	10131.7
11/06/1967	8647.455
12/06/1967	8010.825
13/06/1967	7906.994
14/06/1967	8121.719
15/06/1967	8242.711
16/06/1967	8104.719
17/06/1967	7592
18/06/1967	6133.817
19/06/1967	4032.02
20/06/1967	2307.896
21/06/1967	1355.273
22/06/1967	881.534
23/06/1967	639.518
24/06/1967	474.069
25/06/1967	394.167
26/06/1967	319.396
27/06/1967	280.99
28/06/1967	226.084
29/06/1967	212.498
30/06/1967	180.436
1/07/1967	157.833
2/07/1967	129.179
3/07/1967	114.07
4/07/1967	112.235
5/07/1967	112.235
6/07/1967	125.389
7/07/1967	207.034
8/07/1967	233.8
9/07/1967	220.188
10/07/1967	210.241
11/07/1967	166.894
12/07/1967	155.576
13/07/1967	129.179
14/07/1967	114.07
15/07/1967	108.962
16/07/1967	87.88
17/07/1967	75.924
18/07/1967	71.96
19/07/1967	56.862
20/07/1967	53.255
21/07/1967	46.711
22/07/1967	43.784
23/07/1967	32.767
24/07/1967	30.931
25/07/1967	30.931
26/07/1967	30.165
27/07/1967	25.564
28/07/1967	24.138
29/07/1967	20.185
30/07/1967	18.954
31/07/1967	15.519
1/08/1967	14.483
2/08/1967	11.696
3/08/1967	10.854
4/08/1967	8.586
5/08/1967	7.895
6/08/1967	6.016
7/08/1967	5.454
8/08/1967	3.964
9/08/1967	3.715
10/08/1967	3.532
11/08/1967	2.43
12/08/1967	2.246
13/08/1967	2.106
14/08/1967	1.123
15/08/1967	0.14
16/08/1967	0
17/08/1967	0
18/08/1967	0
19/08/1967	0
20/08/1967	0
21/08/1967	0
